A_WALDRON,hep-th/0112182|hep-th/0505255|hep-th/9812039|hep-th/0103255|hep-th/0312068|hep-th/0301068|hep-th/0304050|1003.3855|0807.0486|0903.1394|0812.3932|hep-th/0404018|hep-th/9809070|hep-th/0702033|hep-th/0102123|0707.0267|0803.3998|hep-th/9901016|0812.3364|hep-th/9702123|hep-th/9905183|hep-th/9211123|1003.2234|hep-th/9710104|hep-th/0408155|hep-th/0107222|0911.2477|math-ph/0206011|hep-th/9806081|hep-th/0105181|hep-th/0012014|hep-th/9510167|hep-th/9611043|0810.2867|hep-th/0003011|hep-th/9901163|1104.4994|hep-th/0606160|hep-th/9801093|0902.0530|hep-th/0609113|1104.2991|hep-th/9702057|hep-th/9702052|0901.3788|hep-th/0209044|hep-th/0403059|hep-th/9903099|hep-th/9608174|0906.4814|hep-th/9511148|hep-th/0408088|0909.4578|hep-th/0512296|1007.1724|hep-th/0103198|hep-th/0102166|0707.3164
V_CHARI,hep-th/9410036|hep-th/9410022|hep-th/9411145|hep-th/9411144|hep-th/9505085
M_AGANAGIC,hep-th/9610249|hep-th/0612067|hep-th/0211098|hep-th/0012041|0711.0385|hep-th/9910184|hep-th/0610249|1204.4709|hep-th/0105225|hep-th/0110171|0909.2245|hep-th/0512245|hep-th/0209138|0804.2489|hep-th/0105045|1006.2113|0709.4277|hep-th/0305132|hep-th/0504054|hep-th/9612080|1105.0630|hep-th/0009142|0908.1194|hep-th/0607100|hep-th/0411280|hep-th/9903093|hep-th/9701166|hep-th/9702133|1202.4456|hep-th/0304271|0905.3415|hep-th/0206164|hep-th/0403192|hep-th/0312085|hep-th/0105075|0911.5342|1202.2489|hep-th/9712011|1105.5117|hep-th/0202208|0708.0596
A_ALBRECHT,0708.2743|gr-qc/9408023|0906.1047|1003.2566|1104.3315|hep-th/0409082|hep-th/0405270|astro-ph/0007247|hep-th/9309051|hep-ph/0111080|hep-th/9404066|astro-ph/9811018|hep-th/9402062|astro-ph/9908085|hep-th/0105261|hep-th/0211221|astro-ph/0210527|astro-ph/9904185|astro-ph/0107573|0805.4452
N_KALOPER,hep-ph/9807482|hep-ph/9910499|hep-th/9708008|0706.1977|0904.2394|hep-ph/9903224|hep-th/9609087|hep-th/0104180|0708.1163|0810.5346|hep-th/9708169|hep-th/0611184|astro-ph/0409596|hep-th/9510117|hep-th/9309019|0711.3210|0905.4720|hep-th/9612248|hep-th/0209231|hep-th/0608200|hep-ph/0312002|hep-th/0001197|hep-th/9206079|hep-th/9905210|hep-th/0206155|hep-th/0201158|hep-th/0307016|hep-th/9904120|hep-th/9803066|hep-th/0601110|hep-th/0703190|hep-th/0507191|hep-ph/0112212|hep-ph/9911386|hep-th/9801073|hep-th/0702206|hep-th/9303007|hep-th/9804062|hep-th/9901045|hep-th/9310011|hep-th/9403048|hep-th/0212132|hep-ph/0302030|hep-th/9506027|hep-th/0604086|hep-th/0006192|astro-ph/0607485|hep-th/9505184|hep-th/9811141|hep-th/0409226|astro-ph/0406099|astro-ph/0511543|0803.3809|hep-th/9711027|hep-th/0104239|1003.4777|hep-th/9808063|1203.3455|hep-th/9208025|1106.4827|hep-th/9907209|hep-th/0403208|hep-th/0501028|1101.0026|0707.2666|hep-ph/9903239|hep-th/9705193|astro-ph/0507148|0712.1820|hep-th/9301129|hep-th/0502035|hep-th/9509070|hep-ph/0002001|hep-th/9503175|0811.1989|0705.0408|hep-th/9912125|hep-th/9303059|hep-th/0106128|hep-th/0211221|hep-th/9508132|hep-ph/0111311
W_WONG,hep-th/9611094|0909.4706|hep-th/9704142|hep-th/9607077|hep-th/9706048|1005.2488|hep-th/9608059
M_BANDER,0805.1446|hep-th/0701253|hep-th/0107130|hep-th/0510146|1011.2241|gr-qc/0205006|hep-th/9302117|hep-th/0308125|1003.3963|1006.2176|1011.0699|hep-th/0501159|hep-th/0407177
V_DOLGUSHEV,math/0410562|math/0307212|math/0408210|math/0402248|hep-th/0010029|hep-th/0206039|math/0605141|hep-th/9910227|math/0209145|hep-th/0301121|hep-th/0101032|0711.0184|hep-th/0102167|math/0612288|math/0405177|math/0504420|hep-th/0103091
V_BARANOVSKY,math/9811092
K_INTRILIGATOR,hep-th/9909219|hep-th/9708117|hep-ph/9410203|hep-th/0311181|hep-th/0703281|hep-th/9307101|hep-th/9705030|hep-th/9707089|1108.5650|hep-th/9905020|0801.1140|hep-th/9307166|0809.3981|hep-th/0507146|hep-th/9505051|hep-th/9505006|1001.5443|hep-th/9607207|hep-th/9703110|hep-th/9802092|hep-th/0309201|1109.4940|hep-th/0101010|hep-th/9506148|hep-th/0408156|hep-th/0103067|hep-th/0111007|hep-th/9509066|hep-th/0502049|hep-th/9705044|hep-th/9811047|hep-th/0512347|hep-th/9910250|hep-th/9909082|hep-th/0509085|hep-th/0304128|hep-th/9111014|hep-th/9408155|hep-th/0402084|hep-th/9403198|hep-th/9506084|1203.6662|hep-th/0507137|hep-th/9407106|hep-th/0110028|hep-th/9702038|1107.1721|hep-th/9608046|hep-th/9108005|hep-th/9603158|hep-th/0001205|hep-th/0304271|hep-ph/0702069|hep-th/0602239|hep-th/9204102|hep-ph/9811310|hep-th/0305046|hep-th/9202011|hep-th/9605200|hep-th/9603051|hep-th/9503179|hep-th/0107199|hep-th/9702198
E_MA,hep-ph/0201083|hep-ph/0105278
J_SAGI,hep-th/9311056
